Code 1,Code 2,Product Name,Brand,Original Price,After CK 1,After CK 2,Ngân Sách
69598979,69598979,OMO Bột Giặt CF Tinh Dầu Thơm Sang Trọng Bền Lâu 2.6kg/4 gói,OMO,134.800,121.522,,
64380379,64380379,OMO Bột Giặt Đỏ 2.9kg(1+1Omo NG CFT206g)/4bộ,OMO,134.800,121.522,,
64380378,64380378,OMO BộtGiặt CF TDT STrọng BềnLâu2.6kg(1+1Omo NG CFT206g)/4bộ,OMO,134.800,121.522,,
64380377,64380377,OMO BộtGiặt CF HHồng DMát BềnLâu2.6kg(1+1Omo NG CFT206g)/4bộ,OMO,134.800,121.522,,
69745567,69745567,OMO Nước Giặt Giữ Màu Cửa Trên 2kg/4 túi,OMO,126.000,90.090,,
68940348,68940348,OMO Nước Giặt Cửa Trên 2.2kg/4 túi,OMO,126.000,90.090,,
68681020,68681020,OMO Nước Giặt Cho Quần Áo Bé Yêu 2kg/4 túi,OMO,126.000,90.090,,
68299328,68299328,OMO Nước Giặt Bền Đẹp Cửa Trước 2kg/4 túi,OMO,123.200,90.059,,
69598982,69598982,OMO Bột Giặt Đỏ 1.15kg/12 gói,OMO,57.300,51.656,,229.769.570
69598986,69598986,OMO Bột Giặt Đỏ 770g/18 gói,OMO,38.950,35.113,,
69598971,69598971,OMO Bột Giặt CF Tinh Dầu Thơm Sang Trọng Bền Lâu 700g/18 gói,OMO,38.950,35.113,,
69598963,69598963,OMO Bột Giặt CF H.Hoa Hồng Dịu Mát Bền Lâu 700g/18 gói,OMO,38.950,35.113,,
69598988,69598988,OMO Bột Giặt Đỏ 380g/36 gói,OMO,19.900,17.940,,
69598973,69598973,OMO Bột Giặt CF Tinh Dầu Thơm Sang Trọng Bền Lâu 350g/36 gói,OMO,19.900,17.940,,
69598984,69598984,OMO Bột Giặt Đỏ 100g/140 gói,OMO,7.330,6.608,,
68930477,68930477,P/S BCĐR Bảo Vệ 123 Mềm Mại 12cây/25 vỉ,P/S,112.674,101.407,,
